time	V(vin)	V(vout)
4.710254946055461e-003	-9.689803e-003	-1.013209e-001
4.720020571055461e-003	-9.823115e-003	-1.026549e-001
4.729786196055461e-003	-9.919454e-003	-1.036193e-001
4.739551821055460e-003	-9.978459e-003	-1.042104e-001
4.749317446055460e-003	-9.999908e-003	-1.044261e-001
4.759083071055460e-003	-9.983719e-003	-1.042654e-001
4.768848696055460e-003	-9.929954e-003	-1.037291e-001
4.778614321055460e-003	-9.838814e-003	-1.028191e-001
4.788379946055459e-003	-9.710643e-003	-1.015388e-001
4.798145571055459e-003	-9.545924e-003	-9.989312e-002
4.807911196055459e-003	-9.345276e-003	-9.788820e-002
4.817676821055459e-003	-9.109455e-003	-9.553161e-002
4.832325258555459e-003	-8.691750e-003	-9.135705e-002
4.846973696055458e-003	-8.200467e-003	-8.644680e-002
4.861622133555458e-003	-7.639766e-003	-8.084242e-002
4.876270571055458e-003	-7.014393e-003	-7.459135e-002
4.888128829984029e-003	-6.455611e-003	-6.900573e-002
4.899987088912600e-003	-5.869586e-003	-6.314763e-002
4.911845347841171e-003	-5.256315e-003	-5.701705e-002
4.923703606769742e-003	-4.615800e-003	-5.061399e-002
4.935561865698313e-003	-3.948041e-003	-4.393845e-002
4.947420124626884e-003	-3.253037e-003	-3.699042e-002
4.959278383555456e-003	-2.530789e-003	-2.976992e-002
4.964161196055456e-003	-2.232124e-003	-2.678406e-002
4.969044008555456e-003	-1.932069e-003	-2.378427e-002
4.973926821055455e-003	-1.630622e-003	-2.077055e-002
4.978809633555455e-003	-1.327784e-003	-1.774292e-002
4.983692446055455e-003	-1.023556e-003	-1.470135e-002
4.988575258555455e-003	-7.179362e-004	-1.164587e-002
4.993458071055455e-003	-4.109258e-004	-8.576456e-003
4.998340883555455e-003	-1.042435e-004	-5.510415e-003
5.000000000000000e-003	-1.224647e-017	-4.468094e-003
