time	V(vout)	V(n001)
4.569924332338775e-003	4.386112e+000	6.293654e+000
4.570328430695795e-003	4.341232e+000	6.292586e+000
4.570859999449018e-003	4.307270e+000	6.291157e+000
4.571065692926894e-003	4.296146e+000	6.290599e+000
4.571152376928220e-003	4.285399e+000	6.290362e+000
4.571199321440149e-003	4.270833e+000	6.290233e+000
4.571250600085135e-003	4.244850e+000	6.290091e+000
4.571316714433216e-003	4.203092e+000	6.289904e+000
4.571378409280693e-003	4.158739e+000	6.289725e+000
4.571496260288265e-003	4.067507e+000	6.289372e+000
4.571602701919617e-003	3.981690e+000	6.289041e+000
4.571953203353764e-003	3.688194e+000	6.287856e+000
4.572187399537654e-003	3.487293e+000	6.286987e+000
4.572415996590040e-003	3.289195e+000	6.286068e+000
4.572804482481771e-003	2.951306e+000	6.284363e+000
4.573763754086917e-003	2.124060e+000	6.279368e+000
4.574429570284927e-003	1.559786e+000	6.275258e+000
4.575279434860429e-003	8.534309e-001	6.269245e+000
4.576352418872502e-003	-1.504262e-002	6.260482e+000
4.577684679777849e-003	-1.054908e+000	6.247836e+000
4.579356334402022e-003	-2.295932e+000	6.229328e+000
4.581438514640359e-003	-3.734719e+000	6.202405e+000
4.584110271731532e-003	-5.388524e+000	6.162186e+000
4.587503510144533e-003	-7.173777e+000	6.104017e+000
4.590381767044787e-003	-8.441149e+000	6.050307e+000
4.590693059868764e-003	-8.545551e+000	6.044106e+000
4.591108116967401e-003	-8.669821e+000	6.035724e+000
4.591631961470843e-003	-8.806499e+000	6.025079e+000
4.591941213372091e-003	-8.859872e+000	6.018760e+000
4.592311728412552e-003	-8.884677e+000	6.011167e+000
4.592601990358392e-003	-8.887938e+000	6.005216e+000
4.593895555445504e-003	-8.887705e+000	5.978727e+000
4.600902258575517e-003	-8.887870e+000	5.836143e+000
4.639463036073621e-003	-8.887976e+000	5.080064e+000
4.678023813571725e-003	-8.888073e+000	4.358498e+000
4.716584591069828e-003	-8.888161e+000	3.671445e+000
4.755145368567932e-003	-8.888240e+000	3.018905e+000
4.793706146066035e-003	-8.888310e+000	2.400879e+000
4.832266923564139e-003	-8.888372e+000	1.817365e+000
4.870827701062242e-003	-8.888424e+000	1.268365e+000
4.894265201062242e-003	-8.888460e+000	9.461253e-001
4.899129614350890e-003	-8.888630e+000	8.804322e-001
4.903994027639538e-003	-8.888721e+000	8.151804e-001
4.908858440928187e-003	-8.888736e+000	7.503701e-001
4.913722854216834e-003	-8.888673e+000	6.860011e-001
4.918587267505483e-003	-8.888532e+000	6.220735e-001
4.923451680794131e-003	-8.888313e+000	5.585872e-001
4.928316094082779e-003	-8.888018e+000	4.955423e-001
4.928982108351781e-003	-8.887557e+000	4.869500e-001
4.929648122620783e-003	-8.886681e+000	4.783697e-001
4.930314136889785e-003	-8.885391e+000	4.698014e-001
4.930980151158788e-003	-8.883687e+000	4.612450e-001
4.931646165427789e-003	-8.881569e+000	4.527007e-001
4.932312179696792e-003	-8.879036e+000	4.441683e-001
4.932978193965793e-003	-8.876088e+000	4.356479e-001
4.935949796407301e-003	-8.845447e+000	3.977428e-001
4.937014000913329e-003	-8.809465e+000	3.842498e-001
4.937781868076521e-003	-8.739873e+000	3.745983e-001
4.938388908869280e-003	-8.637926e+000	3.670426e-001
4.938712529469110e-003	-8.559151e+000	3.630617e-001
4.939073302834101e-003	-8.452995e+000	3.586791e-001
4.939812362178034e-003	-8.207685e+000	3.498882e-001
4.940308263280388e-003	-8.026384e+000	3.441668e-001
4.941146250812832e-003	-7.691950e+000	3.348970e-001
4.942822225877720e-003	-6.930737e+000	3.180573e-001
4.946174176007496e-003	-5.161663e+000	2.902197e-001
4.949996527947556e-003	-2.845065e+000	2.674847e-001
4.952902499659164e-003	-8.863465e-001	2.574500e-001
4.954243141505371e-003	7.969230e-002	2.555632e-001
4.954866370213498e-003	5.466495e-001	2.556048e-001
4.955892329429216e-003	1.331717e+000	2.566151e-001
4.957130772953147e-003	2.302367e+000	2.594596e-001
4.958509925322509e-003	3.398214e+000	2.644311e-001
4.959102798389669e-003	3.861239e+000	2.670449e-001
4.959403460746815e-003	4.075982e+000	2.685630e-001
4.959536447127671e-003	4.147924e+000	2.692692e-001
4.959587309202098e-003	4.161251e+000	2.695441e-001
4.959639593349351e-003	4.164688e+000	2.698279e-001
4.959687224244568e-003	4.165214e+000	2.700866e-001
4.959896198304373e-003	4.165276e+000	2.712215e-001
4.960105172364178e-003	4.165426e+000	2.723561e-001
4.960314146423983e-003	4.165662e+000	2.734904e-001
4.960523120483788e-003	4.165984e+000	2.746245e-001
4.960732094543592e-003	4.166394e+000	2.757583e-001
4.960941068603397e-003	4.166890e+000	2.768919e-001
4.961150042663202e-003	4.167472e+000	2.780252e-001
4.961602637968420e-003	4.193709e+000	2.804831e-001
4.961801693486512e-003	4.262714e+000	2.815758e-001
4.961976546623168e-003	4.384527e+000	2.825594e-001
4.962139148014277e-003	4.516368e+000	2.835034e-001
4.962310882634926e-003	4.658568e+000	2.845327e-001
4.962470904204173e-003	4.794696e+000	2.855279e-001
4.962762581048692e-003	5.046445e+000	2.874340e-001
4.963211391719950e-003	5.441848e+000	2.906096e-001
4.964109013062467e-003	6.250340e+000	2.977067e-001
